
N	S2912484	頂樓加蓋/12F	1,188萬元	1,188萬元	20年	3房2廳	38.23坪	38.23坪	38.23坪	新北市樹林區-俊英街	景觀正三房遠挑101歡迎搶購只有一間	Sun Apr 03 03:34:22 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2912484	=HYPERLINK(N2)	
N	S2982123	4F/14F	977萬元	977萬元	1個月	2房1廳	23.8坪	23.8坪	23.8坪	新北市板橋區-信義路	屋主缺錢了~板橋區信義路全新2房	Sun Apr 03 03:34:23 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2982123	=HYPERLINK(N3)	
N	S2995210	4F/27F	1,812萬元	1,812萬元	1個月	3房2廳	41.69坪	41.69坪	41.69坪	新北市土城區-學成路	屋主原價自售~華固新綠洲3房	Sun Apr 03 03:34:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2995210	=HYPERLINK(N4)	
N	S3000958	12F/12F	1,368萬元	1,368萬元	19年	3房2廳	42.28坪	42.28坪	42.28坪	新北市蘆洲區-集賢路	(獨家專任)集賢電梯三房車~低於實價登錄	Sun Apr 03 03:34:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3000958	=HYPERLINK(N5)	
N	S3019370	4F/5F	1,288萬元	1,288萬元	9年	3房2廳	33.29坪	33.29坪	33.29坪	新北市蘆洲區-長安街	蘆洲佳瑪獨立一層一戶電梯洋房	Sun Apr 03 03:34:25 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3019370	=HYPERLINK(N6)	
N	S3029540	null	1,550萬元	1,550萬元	null	1房1廳	35.37坪	35.37坪	35.37坪	新北市中和區-中原二街	遠雄左岸環保智慧宅挑戰全區最低總價！	Sun Apr 03 03:34:28 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3029540	=HYPERLINK(N7)	
N	S2982788	2F/4F	835萬元	835萬元	40年	3房2廳	22.75坪	22.75坪	22.75坪	安靜的公寓 新北市永和區-保福路二段	永平高中學區國立大學升學率高，使用30坪	Sun Apr 03 03:34:29 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2982788	=HYPERLINK(N8)	
N	S2969533	3F/5F	1,050萬元	1,050萬元	35年	3房2廳	23.1坪	23.1坪	23.1坪	房仲拜託您,請勿打擾 新北市永和區-秀朗路二段	鄰福和國中-全新裝潢永和秀朗邊間3房公寓	Sun Apr 03 03:34:29 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2969533	=HYPERLINK(N9)	
N	S2924785	null	1,190萬元	1,190萬元	null	3房2廳	31.45坪	31.45坪	31.45坪	新北市永和區-民權路	秀朗學區，近愛買，頂好商圈。	Sun Apr 03 03:34:32 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2924785	=HYPERLINK(N10)	
N	S2976463	10F/11F	1,098萬元	1,098萬元	25年	2房1廳	18.31坪	18.31坪	18.31坪	凱悅大第 新北市永和區-大新街	頂溪景觀幸福居-饒庭華中信房屋	Sun Apr 03 03:34:33 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2976463	=HYPERLINK(N11)	
N	S3008190	2F/4F	898萬元	898萬元	38年	3房2廳	20.6坪	20.6坪	20.6坪	新北市永和區-保平路	【斡wow~就這間】樂華商圈低價2F	Sun Apr 03 03:34:34 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3008190	=HYPERLINK(N12)	
N	S3025186	2F/4F	1,198萬元	1,198萬元	44年	3房2廳	22.28坪	22.28坪	22.28坪	新北市永和區-福和路	福和路邊間二樓美寓~買賣各1%B6524	Sun Apr 03 03:34:34 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3025186	=HYPERLINK(N13)	
N	S3048042	3F/4F	1,150萬元	1,150萬元	38年	3房2廳	29.97坪	29.97坪	29.97坪	新北市永和區-民生路	民生路-邊間三樓美寓【太平洋-林紘緯】	Sun Apr 03 03:34:35 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048042	=HYPERLINK(N14)	
N	S2890490	10F/11F	880萬元	880萬元	20年	1房1廳	13.67坪	13.67坪	13.67坪	冠德歡喜樓 新北市永和區-自由街	租.售永安大套房~有隔房間.廁所有對外窗	Sun Apr 03 03:34:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2890490	=HYPERLINK(N15)	
N	S2989520	4F/4F	1,150萬元	1,150萬元	39年	3房2廳	29.18坪	29.18坪	29.18坪	新北市永和區-國中路	國中路✔明星學區✔方正格局✔	Sun Apr 03 03:34:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2989520	=HYPERLINK(N16)	
N	S2980600	21F/26F	858萬元	858萬元	16年	1房1廳	13.87坪	13.87坪	13.87坪	東家創世紀 新北市永和區-保生路	仁愛公園貴族套房~中信秀朗優質推薦	Sun Apr 03 03:34:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2980600	=HYPERLINK(N17)	
N	S3002258	1F/6F	898萬元	898萬元	38年	3房2廳	20.33坪	20.33坪	20.33坪	新北市永和區-竹林路	近頂溪站優質1+2樓	Sun Apr 03 03:34:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3002258	=HYPERLINK(N18)	
N	S2980565	3F/5F	1,158萬元	1,158萬元	35年	3房2廳	26.75坪	26.75坪	26.75坪	新北市永和區-福和路	永和國中優質三樓	Sun Apr 03 03:34:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2980565	=HYPERLINK(N19)	
N	S2984447	3F/5F	1,080萬元	1,080萬元	36年	3房2廳	23.54坪	23.54坪	23.54坪	【秀朗國小芳鄰】 新北市永和區-民生路	【精選】秀朗學區商圈-黃金三樓	Sun Apr 03 03:34:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2984447	=HYPERLINK(N20)	
N	S3047334	11F/26F	1,130萬元	1,130萬元	16年	1房1廳	18.13坪	18.13坪	18.13坪	東家創世紀 新北市永和區-保生路	C126東家景觀裝潢一房一廳	Sun Apr 03 03:34:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3047334	=HYPERLINK(N21)	
N	S3009747	4F/5F	1,198萬元	1,198萬元	36年	3房2廳	25.47坪	25.47坪	25.47坪	新北市永和區-保平路	買賣各1%-保平靜巷美寓三房BA6573	Sun Apr 03 03:34:40 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3009747	=HYPERLINK(N22)	
N	S3022053	2F/5F	898萬元	898萬元	37年	2房2廳	18.34坪	18.34坪	18.34坪	新北市永和區-永貞路	**近永安捷運**[漂亮二樓美寓]	Sun Apr 03 03:34:40 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3022053	=HYPERLINK(N23)	
N	S3048992	2F/4F	1,170萬元	1,170萬元	42年	3房2廳	21.17坪	21.17坪	21.17坪	新北市永和區-安樂路	四號公園~獨棟邊間二樓	Sun Apr 03 03:34:41 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048992	=HYPERLINK(N24)	
N	S3009737	5F/5F	1,180萬元	1,180萬元	42年	3房2廳	31.35坪	31.35坪	31.35坪	新北市永和區-竹林路	【投資物件】永和區公所5房大空間美寓	Sun Apr 03 03:34:41 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3009737	=HYPERLINK(N25)	
N	S2913574	4F/4F	899萬元	899萬元	42年	4房4廳	20.93坪	20.93坪	20.93坪	新北市永和區-永平路	《頂溪捷運》小資族收租屋	Sun Apr 03 03:34:42 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2913574	=HYPERLINK(N26)	
N	S3011782	4F/5F	1,058萬元	1,058萬元	37年	4房0廳	20.21坪	20.21坪	20.21坪	新北市永和區-安樂路	【超總價】四號公園收租四套房，出價就談！	Sun Apr 03 03:34:43 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3011782	=HYPERLINK(N27)	
N	S3039274	2F/4F	1,080萬元	1,080萬元	43年	3房2廳	26.74坪	26.74坪	26.74坪	新北市永和區-民光街	**急售、出價談**智光秀朗黃金二樓~	Sun Apr 03 03:34:43 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3039274	=HYPERLINK(N28)	
N	S2934504	3F/4F	998萬元	998萬元	42年	2房1廳	17.79坪	17.79坪	17.79坪	新北市永和區-中正路	頂溪捷運➦方正2房➦新婚小家庭適合~	Sun Apr 03 03:34:44 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2934504	=HYPERLINK(N29)	
N	S2989313	2F/4F	1,080萬元	1,080萬元	43年	3房2廳	26.74坪	26.74坪	26.74坪	新北市永和區-民光街	★智光超值★邊間美二樓★3房2衛	Sun Apr 03 03:34:44 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2989313	=HYPERLINK(N30)	
N	S2808131	頂樓加蓋/4F	960萬元	960萬元	44年	3房2廳	21.4坪	21.4坪	21.4坪	新北市永和區-民治街	民治優質採光佳、頂加大坪數生活機能佳	Sun Apr 03 03:34:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2808131	=HYPERLINK(N31)	
N	S3001131	2F/4F	968萬元	968萬元	39年	2房1廳	23.06坪	23.06坪	23.06坪	新北市永和區-豫溪街	頂溪站優美2樓	Sun Apr 03 03:34:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3001131	=HYPERLINK(N32)	
N	S3011557	2F/4F	998萬元	998萬元	42年	3房2廳	17.64坪	17.64坪	17.64坪	新北市永和區-民生路	秀朗國小二樓~找我最便宜~洽黃品承協理	Sun Apr 03 03:34:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3011557	=HYPERLINK(N33)	
N	S3044691	3F/4F	1,040萬元	1,040萬元	46年	3房2廳	24.37坪	24.37坪	24.37坪	新北市永和區-民治街	智光商圈大陽台美寓6706	Sun Apr 03 03:34:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3044691	=HYPERLINK(N34)	
N	S2939088	6F/6F	920萬元	920萬元	7年	2房1廳	18.75坪	18.75坪	18.75坪	CATCH 敦南 新北市永和區-永利路	C045福和國中敦南挑高小資宅	Sun Apr 03 03:34:47 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2939088	=HYPERLINK(N35)	
N	S2983242	7F/18F	1,080萬元	1,080萬元	18年	2房2廳	22.8坪	22.8坪	22.8坪	長隄 新北市永和區-環河西路二段	永和精美兩房	Sun Apr 03 03:34:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2983242	=HYPERLINK(N36)	
N	S3025738	10F/11F	999萬元	999萬元	25年	1房1廳	17.13坪	17.13坪	17.13坪	新北市永和區-大新街	頂溪捷運高樓溫馨宅	Sun Apr 03 03:34:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3025738	=HYPERLINK(N37)	
N	S2997353	2F/12F	1,030萬元	1,030萬元	18年	2房1廳	15.18坪	15.18坪	15.18坪	保時捷 新北市永和區-中山路一段	保時捷電梯美二房BA6003	Sun Apr 03 03:34:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2997353	=HYPERLINK(N38)	
N	S3030317	7F/7F	1,180萬元	1,180萬元	37年	2房1廳	17坪	17坪	17坪	易速家 新北市永和區-竹林路	永和頂溪新婚兩房	Sun Apr 03 03:34:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3030317	=HYPERLINK(N39)	
N	S3025705	10F/11F	1,098萬元	1,098萬元	25年	1房1廳	18.31坪	18.31坪	18.31坪	新北市永和區-大新街	頂溪捷運高樓時尚宅	Sun Apr 03 03:34:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3025705	=HYPERLINK(N40)	
N	S3028805	4F/5F	980萬元	980萬元	34年	2房2廳	23坪	23坪	23坪	新北市永和區-永貞路	公園捷運棒棒屋[捷運公園3分鐘]	Sun Apr 03 03:34:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3028805	=HYPERLINK(N41)	
N	S2921951	3F/21F	1,080萬元	1,080萬元	17年	2房2廳	22.8坪	22.8坪	22.8坪	長隄 新北市永和區-環河西路二段	仁愛公園小家庭電梯2房	Sun Apr 03 03:34:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2921951	=HYPERLINK(N42)	
N	S2997256	5F/5F	1,180萬元	1,180萬元	42年	3房2廳	31.35坪	31.35坪	31.35坪	新北市永和區-竹林路	永和竹林路美寓，近區公所、頂溪捷運站	Sun Apr 03 03:34:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2997256	=HYPERLINK(N43)	
N	S3011656	3F/7F	980萬元	980萬元	39年	2房2廳	19.65坪	19.65坪	19.65坪	新北市永和區-永安街	公所電梯二房~找我最便宜~洽黃品承協理	Sun Apr 03 03:34:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3011656	=HYPERLINK(N44)	
N	S3037483	3F/5F	1,080萬元	1,080萬元	35年	3房2廳	24坪	24坪	24坪	新北市永和區-民生路	秀朗民生公寓3房	Sun Apr 03 03:34:54 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3037483	=HYPERLINK(N45)	
N	S3028388	4F/16F	1,198萬元	1,198萬元	19年	1房2廳	23.7坪	23.7坪	23.7坪	永安MRT 新北市永和區-中和路	中信秀朗優質推薦~永安捷運開創幸福夢	Sun Apr 03 03:34:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3028388	=HYPERLINK(N46)	
N	S2980592	2F/4F	898萬元	898萬元	38年	3房1廳	20.6坪	20.6坪	20.6坪	新北市永和區-保平路	頂溪樂華低總價2+1房~中信秀朗優質推薦	Sun Apr 03 03:34:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2980592	=HYPERLINK(N47)	
N	S2980588	3F/5F	1,080萬元	1,080萬元	36年	3房2廳	23.5坪	23.5坪	23.5坪	新北市永和區-民生路	秀朗裝潢大3房~3樓免爬高	Sun Apr 03 03:34:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2980588	=HYPERLINK(N48)	
N	S3003141	4F/4F	1,150萬元	1,150萬元	38年	3房2廳	25.64坪	25.64坪	25.64坪	新北市永和區-安樂路	四號公園3分鐘☀永安☀福和永和☀屋主誠售	Sun Apr 03 03:34:56 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3003141	=HYPERLINK(N49)	
N	S3011295	10F/11F	999萬元	999萬元	25年	2房1廳	17.13坪	17.13坪	17.13坪	新北市永和區-大新街	頂溪捷運樂華時尚宅【陳思儒】東森永和中和	Sun Apr 03 03:34:57 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3011295	=HYPERLINK(N50)	
N	S3019803	4F/11F	1,125萬元	1,125萬元	29年	2房2廳	17.15坪	17.15坪	17.15坪	新北市永和區-中正路	頂溪捷運物超2房《陳思儒》東森永和中和	Sun Apr 03 03:34:57 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3019803	=HYPERLINK(N51)	
N	S3014571	4F/4F	1,060萬元	1,060萬元	37年	3房2廳	24.22坪	24.22坪	24.22坪	新北市永和區-光復街	【專任獨家】頂溪捷運超值美寓4+5必買	Sun Apr 03 03:34:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3014571	=HYPERLINK(N52)	
N	S3014076	14F/19F	980萬元	980萬元	4年	1房1廳	11.95坪	11.95坪	11.95坪	樺福千金 新北市永和區-永和路二段	頂溪千金景觀套房~專約張麗鴻	Sun Apr 03 03:34:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3014076	=HYPERLINK(N53)	
N	S2964150	2F/5F	980萬元	980萬元	36年	3房2廳	25.5坪	25.5坪	25.5坪	新北市永和區-竹林路	網溪國小,超稀有孝親2樓	Sun Apr 03 03:34:59 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2964150	=HYPERLINK(N54)	
N	S2986248	4F/11F	1,125萬元	1,125萬元	29年	2房1廳	17.14坪	17.14坪	17.14坪	新北市永和區-中正路	近捷運電梯2房(2)	Sun Apr 03 03:35:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2986248	=HYPERLINK(N55)	
N	S2999045	2F/4F	1,198萬元	1,198萬元	43年	3房2廳	22.28坪	22.28坪	22.28坪	新北市永和區-福和路	⊙＿⊙稀有釋出~永和標格黃金二樓！！	Sun Apr 03 03:35:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2999045	=HYPERLINK(N56)	
N	S3041965	4F/4F	1,188萬元	1,188萬元	40年	3房2廳	19坪	19坪	19坪	新北市永和區-文化路	v+頂溪金湯匙美宅	Sun Apr 03 03:35:01 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3041965	=HYPERLINK(N57)	
N	S2996918	null	898萬元	898萬元	null	2房2廳	18.34坪	18.34坪	18.34坪	新北市永和區-永貞路	☞獨家專售不看可惜╭四號公園2樓美寓╮	Sun Apr 03 03:35:04 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2996918	=HYPERLINK(N58)	
