
N	S2883267	17F/19F	3,480萬元	3,480萬元	13年	5房2廳	64.9坪	64.9坪	機械式停車位，已含售金內	新北市永和區-中正路	永安捷運/四號公園/中央圖書館/智光	Tue May 03 16:21:49 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2883267	=HYPERLINK(N2)	
N	S3021815	2F/27F	1,650萬元	1,650萬元	1年	2房1廳	36.45坪	36.45坪	平面式停車位，已含售金內	新北市土城區-學成路	屋主自售~華固新綠洲2房稀有露台戶	Tue May 03 16:21:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3021815	=HYPERLINK(N3)	
N	S3030984	6F/27F	2,330萬元	2,330萬元	1個月	3房2廳	53.2坪	53.2坪	平面式停車位，已含售金內	新北市土城區-學成路	自售林蔭6FA1邊間三面採光大3房車位	Tue May 03 16:21:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3030984	=HYPERLINK(N4)	
N	S3071199	7F/12F	2,250萬元	2,250萬元	7年	3房2廳	51.24坪	51.24坪	平面式停車位，已含售金內	新北市三重區-三賢街	重陽橋*家樂福*星巴克*大山公園三房車	Tue May 03 16:21:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3071199	=HYPERLINK(N5)	
N	S3088023	2F/11F	699萬元	699萬元	7年	2房1廳	36.23坪	36.23坪	平面式停車位，已含售金內	新北市淡水區-八勢一街	紅樹林捷運站旁超便宜海天溫泉美兩房車	Tue May 03 16:21:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3088023	=HYPERLINK(N6)	
P	S3093531	4F/5F	1,300萬元	1,300萬元	32年	8房1廳	34.47坪	34.47坪	無	新北市新店區-中正路	新店區中正路大坪林捷運站收租屋	Tue May 03 16:21:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093531	=HYPERLINK(N7)	
P	S3021775	4F/4F	1,050萬元	1,050萬元	41年	3房2廳	31.46坪	31.46坪	無	新北市汐止區-宜興街	宜興商圈-邊間美寓	Tue May 03 16:21:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3021775	=HYPERLINK(N8)	
N	S3018606	10F/12F	920萬元	920萬元	18年	2房2廳	20.46坪	20.46坪	無	英郡 新北市汐止區-樟樹一路	愛嘉團隊~英郡稀有溫馨美屋~社區專家小蔡	Tue May 03 16:21:54 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3018606	=HYPERLINK(N9)	
N	S3066873	11F/13F	1,168萬元	1,168萬元	7年	2房2廳	29.84坪	29.84坪	平面式停車位，已含售金內	華鎮生活家 新北市汐止區-大同路一段	青年創業輕鬆成家~新婚首選~	Tue May 03 16:21:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3066873	=HYPERLINK(N10)	
N	S3016331	8F/9F	1,150萬元	1,150萬元	20年	2房2廳	34.91坪	34.91坪	平面式停車位，已含售金內	康寧郡 新北市汐止區-康寧街	康寧郡2房加車位	Tue May 03 16:21:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3016331	=HYPERLINK(N11)	
N	S3075946	12F/14F	928萬元	928萬元	17年	3房2廳	29.36坪	29.36坪	無	東方山河 新北市汐止區-鄉長路一段	建成路旁邊《成家３房面星光橋》交通便利	Tue May 03 16:21:56 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075946	=HYPERLINK(N12)	
N	S3062909	9F/10F	930萬元	930萬元	5年	2房2廳	26.628坪	26.628坪	無	捷運年代 新北市汐止區-汐萬路一段	@汐止精品景觀2房	Tue May 03 16:21:56 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062909	=HYPERLINK(N13)	
N	S3094243	22F/25F	1,060萬元	1,060萬元	20年	2房2廳	28.99坪	28.99坪	機械式停車位，已含售金內	潤泰陽光新廈 新北市汐止區-莊敬街	莊敬街兩房+車位近水源路新台五路連興	Tue May 03 16:21:57 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3094243	=HYPERLINK(N14)	
N	S3063963	14F/28F	850萬元	850萬元	19年	3房2廳	31.22坪	31.22坪	無	東方山河 新北市汐止區-鄉長路一段	汐止低總價電梯三房＊近建成國泰商圈	Tue May 03 16:21:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3063963	=HYPERLINK(N15)	
N	S3066343	5F/12F	1,200萬元	1,200萬元	19年	3房2廳	31.61坪	31.61坪	無	錦帝 新北市汐止區-大同路二段	錦帝~住商南港站前加盟店	Tue May 03 16:21:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3066343	=HYPERLINK(N16)	
N	S3030773	10F/17F	1,038萬元	1,038萬元	20年	3房2廳	38.64坪	38.64坪	平面式停車位，已含售金內	建成路琉森公園 新北市汐止區-建成路	建成路～琉森公園鐵賣景觀三房車位	Tue May 03 16:21:59 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3030773	=HYPERLINK(N17)	
N	S3087523	7F/12F	890萬元	890萬元	17年	1房2廳	24.67坪	24.67坪	平面式停車位，已含售金內	高登屋 新北市汐止區-民族三街	(汐止雙雙)獨家專賣~高登屋美屋+平面車	Tue May 03 16:22:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3087523	=HYPERLINK(N18)	
N	S3089887	15F/19F	1,028萬元	1,028萬元	19年	3房2廳	28.51坪	28.51坪	無	國泰民安 新北市汐止區-建成路	服務費只收1%+再送您成交好禮=汐止阿貴	Tue May 03 16:22:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3089887	=HYPERLINK(N19)	
N	S3077807	11F/26F	1,050萬元	1,050萬元	17年	2房2廳	47.89坪	47.89坪	平面式停車位，已含售金內	白雲山莊 新北市汐止區-東勢街	白雲美妝小資宅~0915767968	Tue May 03 16:22:01 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3077807	=HYPERLINK(N20)	
N	S2562458	8F/11F	888萬元	888萬元	3個月	2房0廳	38.75坪	38.75坪	平面式停車位，已含售金內	益翔-寶藏 新北市汐止區-保長路	甜蜜蜜景觀2房	Tue May 03 16:22:01 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2562458	=HYPERLINK(N21)	
P	S3085047	4F/5F	985萬元	985萬元	27年	3房2廳	59.51坪	59.51坪	平面式停車位，已含售金內	新北市汐止區-伯爵街	伯4-3伯爵三代3+1房車位	Tue May 03 16:22:02 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3085047	=HYPERLINK(N22)	
