
U	S2883267	17F/19F	3,480萬元	3,480萬元	13年	5房2廳	64.9坪	64.9坪	機械式停車位，已含售金內	新北市永和區-中正路	永安捷運/四號公園/中央圖書館/智光	Sat Apr 30 07:56:35 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2883267	=HYPERLINK(N2)	
U	S3034881	整棟/3F	1,590萬元	1,590萬元	25年	5房2廳	61.59坪	61.59坪	平面式停車位，已含售金內	新北市深坑區-雲鄉路	如詩如畫透天別墅地31坪3層樓-	Sat Apr 30 08:31:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3034881	=HYPERLINK(N3)	
U	S3050979	26F/26F	2,800萬元	2,800萬元	1個月	2房2廳	35.33坪	35.33坪	平面式停車位，已含售金內	新北市新莊區-新北大道四段	副都心捷運站出口1分鐘！遠雄新宿頂樓賠售	Sat Apr 30 07:56:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3050979	=HYPERLINK(N4)	
R	S3071199	7F/12F	2,250萬元	2,250萬元	7年	3房2廳	51.24坪	51.24坪	平面式停車位，已含售金內	新北市三重區-三賢街	重陽橋*家樂福*星巴克*大山公園三房車	Mon Apr 18 10:45:42 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3071199	=HYPERLINK(N5)	
U	S3088023	2F/11F	699萬元	699萬元	7年	2房1廳	36.23坪	36.23坪	平面式停車位，已含售金內	新北市淡水區-八勢一街	紅樹林捷運站旁超便宜海天溫泉美兩房車	Sat Apr 30 07:56:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3088023	=HYPERLINK(N6)	
N	S3094829	2F/6F	1,360萬元	1,360萬元	21年	3房2廳	44.5坪	44.5坪	平面式停車位，已含售金內	新北市蘆洲區-長安街	【蘆洲買屋指名】優質社區~三房平面大車位	Wed May 04 21:59:43 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3094829	=HYPERLINK(N7)	
P	S3021775	4F/4F	1,050萬元	1,050萬元	41年	3房2廳	31.46坪	31.46坪	無	新北市汐止區-宜興街	宜興商圈-邊間美寓	Wed May 04 21:59:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3021775	=HYPERLINK(N8)	
N	S3018606	10F/12F	920萬元	920萬元	18年	2房2廳	20.46坪	20.46坪	無	英郡 新北市汐止區-樟樹一路	愛嘉團隊~英郡稀有溫馨美屋~社區專家小蔡	Wed May 04 21:59:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3018606	=HYPERLINK(N9)	
N	S3066873	11F/13F	1,168萬元	1,168萬元	7年	2房2廳	29.84坪	29.84坪	平面式停車位，已含售金內	華鎮生活家 新北市汐止區-大同路一段	青年創業輕鬆成家~新婚首選~	Wed May 04 21:59:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3066873	=HYPERLINK(N10)	
N	S3016331	8F/9F	1,150萬元	1,150萬元	20年	2房2廳	34.91坪	34.91坪	平面式停車位，已含售金內	康寧郡 新北市汐止區-康寧街	康寧郡2房加車位	Wed May 04 21:59:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3016331	=HYPERLINK(N11)	
N	S3086182	11F/14F	1,170萬元	1,170萬元	6年	2房2廳	24.57坪	24.57坪	無	新南港雙站 新北市汐止區-工建路	雙站小資絕美兩房鄰大同路-王君昊	Wed May 04 21:59:54 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3086182	=HYPERLINK(N12)	
P	S3100544	3F/5F	1,088萬元	1,088萬元	34年	3房2廳	27.53坪	27.53坪	無	新北市汐止區-弘道街	近南港展覽館白雲國小旁弘道邊間3房	Wed May 04 21:59:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3100544	=HYPERLINK(N13)	
N	S2562458	8F/11F	888萬元	888萬元	3個月	2房0廳	38.75坪	38.75坪	平面式停車位，已含售金內	益翔-寶藏 新北市汐止區-保長路	甜蜜蜜景觀2房	Wed May 04 21:59:59 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2562458	=HYPERLINK(N14)	
N	S3059000	3F/6F	898萬元	898萬元	23年	3房2廳	26.32坪	26.32坪	無	招商華夏 新北市汐止區-招商街	近忠孝東路低總價三房~住商潘智偉	Wed May 04 21:59:59 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3059000	=HYPERLINK(N15)	
N	S3072927	9F/14F	1,088萬元	1,088萬元	21年	3房2廳	29.62坪	29.62坪	無	明峰電梯 新北市汐止區-明峰街	【出價就談】明峰裝潢電梯三房~急售	Wed May 04 22:00:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072927	=HYPERLINK(N16)	
N	S3016320	8F/16F	1,150萬元	1,150萬元	22年	3房2廳	34.59坪	34.59坪	無	東方旺族 新北市汐止區-大同路二段	最便宜!汐科邊間優質三房	Wed May 04 22:00:04 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3016320	=HYPERLINK(N17)	
N	S3079406	11F/15F	1,200萬元	1,200萬元	23年	2房1廳	33.09坪	33.09坪	無	凱歌社區 新北市汐止區-樟樹二路	359樟樹凱歌2+1房邊間方正採光好	Wed May 04 22:00:05 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3079406	=HYPERLINK(N18)	
N	S3023972	6F/18F	1,100萬元	1,100萬元	7年	2房2廳	25.47坪	25.47坪	無	國家交響樂 新北市汐止區-仁愛路	仁愛路～火車站～國家交響樂採光2房	Wed May 04 22:00:05 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3023972	=HYPERLINK(N19)	
N	S3068181	7F/11F	1,088萬元	1,088萬元	3年	2房1廳	25.57坪	25.57坪	無	早安清境 新北市汐止區-南興路	早安清境無敵景觀,面保護區,近遠雄	Wed May 04 22:00:06 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068181	=HYPERLINK(N20)	
N	S3107957	8F/8F	1,050萬元	1,050萬元	15年	2房2廳	26.324坪	26.324坪	無	新北市汐止區-工建路	愛快台北景觀電梯華廈三改二房	Wed May 04 22:00:07 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3107957	=HYPERLINK(N21)	
P	S3068184	4F/5F	1,198萬元	1,198萬元	30年	5房0廳	31.66坪	31.66坪	無	新北市汐止區-建成路	國泰醫院建成商圈滿租收租屋	Wed May 04 22:00:08 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068184	=HYPERLINK(N22)	
N	S3086156	3F/9F	899萬元	899萬元	18年	2房2廳	24.66坪	24.66坪	無	新台北人 新北市汐止區-福德二路	稀有華廈小資兩房鄰中興路-王君昊	Wed May 04 22:00:09 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3086156	=HYPERLINK(N23)	
P	S3114104	4F/5F	880萬元	880萬元	30年	3房2廳	28.54坪	28.54坪	無	新北市汐止區-樟樹一路	樟樹裝潢屋-{全國東湖菁英}	Wed May 04 22:00:09 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3114104	=HYPERLINK(N24)	
N	S3099332	5F/16F	928萬元	928萬元	20年	2房2廳	23.26坪	23.26坪	無	世電你和我 新北市汐止區-福德二路	↭世電優地段兩房↭中興麥當勞商圈	Wed May 04 22:00:10 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3099332	=HYPERLINK(N25)	
N	S3075401	17F/18F	1,168萬元	1,168萬元	17年	3房2廳	47.57坪	47.57坪	平面式停車位，已含售金內	茄苳華城 新北市汐止區-茄苳路	茄苳路~茄苳華城便宜三房~住商潘智偉	Wed May 04 22:00:11 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075401	=HYPERLINK(N26)	
N	S3086145	8F/9F	1,150萬元	1,150萬元	20年	2房2廳	34.92坪	34.92坪	平面式停車位，已含售金內	康寧郡 新北市汐止區-康寧街	美妝兩房車鄰中興路湖前街-王君昊	Wed May 04 22:00:12 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3086145	=HYPERLINK(N27)	
P	S3055474	3F/5F	968萬元	968萬元	29年	2房2廳	31.05坪	31.05坪	無	新北市汐止區-樟樹二路	***國中美寓三房~本物件買賣雙方各1%	Wed May 04 22:00:12 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3055474	=HYPERLINK(N28)	
N	S3072528	13F/15F	998萬元	998萬元	20年	3房2廳	32.17坪	32.17坪	無	人情味小鎮 新北市汐止區-福德一路	人情味高樓亮麗3房	Wed May 04 22:00:13 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072528	=HYPERLINK(N29)	
N	S3102774	6F/12F	1,100萬元	1,100萬元	21年	2房2廳	32.52坪	32.52坪	平面式停車位，已含售金內	綠百代 新北市汐止區-福德一路	福德美夢兩房+平面車位	Wed May 04 22:00:14 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3102774	=HYPERLINK(N30)	
P	S3068157	3F/5F	830萬元	830萬元	30年	2房2廳	22.659坪	22.659坪	無	新北市汐止區-建成路	國泰醫院建成商圈3樓公寓大2房	Wed May 04 22:00:15 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068157	=HYPERLINK(N31)	
N	S3093290	8F/25F	880萬元	880萬元	20年	2房2廳	25.359坪	25.359坪	無	日出印象 新北市汐止區-新台五路二段	愛嘉團隊~日出稀有兩房釋出~社區專家小蔡	Wed May 04 22:00:15 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093290	=HYPERLINK(N32)	
N	S3062115	3F/12F	888萬元	888萬元	16年	1房2廳	21.06坪	21.06坪	無	高登屋 新北市汐止區-明峰街	(汐止雙雙)高登屋超讚美屋	Wed May 04 22:00:16 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062115	=HYPERLINK(N33)	
N	S3087523	7F/12F	890萬元	890萬元	17年	1房2廳	24.67坪	24.67坪	平面式停車位，已含售金內	高登屋 新北市汐止區-民族三街	(汐止雙雙)獨家專賣~高登屋美屋+平面車	Wed May 04 22:00:17 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3087523	=HYPERLINK(N34)	
N	S3072042	13F/18F	850萬元	850萬元	18年	2房2廳	19.71坪	19.71坪	無	青年守則 新北市汐止區-建成路	建成路青年守則景觀兩房近汐止火車站	Wed May 04 22:00:18 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072042	=HYPERLINK(N35)	
N	S3107923	5F/16F	1,098萬元	1,098萬元	22年	3房2廳	39.59坪	39.59坪	無	凱歌世界 新北市汐止區-樟樹二路	☃凱歌大世界三房~最超值的物件	Wed May 04 22:00:19 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3107923	=HYPERLINK(N36)	
N	S3088444	23F/25F	1,200萬元	1,200萬元	16年	3房2廳	33坪	33坪	無	水蓮山莊 新北市汐止區-湖前街	水蓮~無敵山景3房『房產顧問汐止小鍾』	Wed May 04 22:00:20 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3088444	=HYPERLINK(N37)	
N	S3088444	23F/25F	1,200萬元	1,200萬元	16年	3房2廳	33坪	33坪	無	水蓮山莊 新北市汐止區-湖前街	水蓮~無敵山景3房『房產顧問汐止小鍾』	Wed May 04 22:00:22 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3088444	=HYPERLINK(N38)	
N	S3100470	2F/7F	1,050萬元	1,050萬元	22年	3房2廳	27.899坪	27.899坪	無	世貿親家 新北市汐止區-樟樹一路	重新整理屋美附全新家具格局方正採光佳	Wed May 04 22:00:23 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3100470	=HYPERLINK(N39)	
N	S3072042	13F/18F	850萬元	850萬元	18年	2房2廳	19.71坪	19.71坪	無	青年守則 新北市汐止區-建成路	建成路青年守則景觀兩房近汐止火車站	Wed May 04 22:00:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072042	=HYPERLINK(N40)	
N	S2989004	13F/14F	950萬元	950萬元	22年	3房2廳	27.8坪	27.8坪	無	濱湖特區 新北市汐止區-湖前街	汐止Lily~實在價~湖前電梯溫馨3房	Wed May 04 22:00:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2989004	=HYPERLINK(N41)	
N	S3084549	2F/9F	1,190萬元	1,190萬元	10年	3房2廳	32.52坪	32.52坪	無	皇家帝寶 新北市汐止區-仁愛路	3078 皇家帝寶	Wed May 04 22:00:25 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3084549	=HYPERLINK(N42)	
N	S3079354	2F/9F	1,190萬元	1,190萬元	11年	3房2廳	32.53坪	32.53坪	無	皇家帝寶 新北市汐止區-仁愛路	皇家帝寶~鄰交響樂東方帝寶帝寶花園	Wed May 04 22:00:26 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3079354	=HYPERLINK(N43)	
N	S3079351	3F/9F	899萬元	899萬元	19年	2房2廳	24.66坪	24.66坪	無	新台北人 新北市汐止區-福德二路	中興路商圈方正~大2房~鄰福德一路康寧街	Wed May 04 22:00:28 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3079351	=HYPERLINK(N44)	
N	S3051185	6F/15F	1,080萬元	1,080萬元	19年	2房2廳	22.32坪	22.32坪	無	仁愛巨星 新北市汐止區-福安街	巨星精緻二房	Wed May 04 22:00:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3051185	=HYPERLINK(N45)	
N	S3058418	4F/8F	950萬元	950萬元	21年	2房2廳	24.3坪	24.3坪	無	香榭巴黎 新北市汐止區-福德一路	汐止Lily~專約~香榭巴黎通風大2房	Wed May 04 22:00:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3058418	=HYPERLINK(N46)	
N	S2992147	2F/22F	1,050萬元	1,050萬元	19年	3房2廳	37.6坪	37.6坪	無	日月光 新北市汐止區-康寧街	[汐止Lily]~專約日月光3房~洽談中	Wed May 04 22:00:31 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2992147	=HYPERLINK(N47)	
N	S3103427	13F/13F	988萬元	988萬元	20年	2房2廳	34.04坪	34.04坪	平面式停車位，已含售金內	哈佛社區 新北市汐止區-樟樹二路	汐止河景哈佛兩房車位	Wed May 04 22:00:32 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3103427	=HYPERLINK(N48)	
N	S3038662	17F/17F	1,188萬元	1,188萬元	18年	3房2廳	32.2坪	32.2坪	平面式停車位，已含售金內	Me時代 新北市汐止區-建成路	就是要這個FU	Wed May 04 22:00:33 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038662	=HYPERLINK(N49)	
N	S3065912	11F/25F	1,150萬元	1,150萬元	19年	3房2廳	38.04坪	38.04坪	無	日月光 新北市汐止區-康寧街	C-28日月光景觀屋	Wed May 04 22:00:34 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3065912	=HYPERLINK(N50)	
N	S3072843	4F/24F	1,150萬元	1,150萬元	21年	3房2廳	31.88坪	31.88坪	無	宏國大鎮 新北市汐止區-大同路二段	汐科★宏國大鎮極品3房	Wed May 04 22:00:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072843	=HYPERLINK(N51)	
N	S3093910	5F/13F	1,088萬元	1,088萬元	22年	3房2廳	32.01坪	32.01坪	無	哈佛社區 新北市汐止區-樟樹二路	(汐止恩豪)推薦哈佛便宜免整理三房	Wed May 04 22:00:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093910	=HYPERLINK(N52)	
P	S3077499	3F/4F	888萬元	888萬元	36年	4房0廳	18.979坪	18.979坪	無	新北市汐止區-招商街	低總價汐止車站商圈~穩定收租屋	Wed May 04 22:00:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3077499	=HYPERLINK(N53)	
N	S3068089	3F/7F	898萬元	898萬元	23年	3房2廳	26.33坪	26.33坪	無	招商華廈 新北市汐止區-招商街	汐止火車站商圈華廈3房	Wed May 04 22:00:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068089	=HYPERLINK(N54)	
N	S3103413	4F/7F	1,190萬元	1,190萬元	21年	2房2廳	31.948坪	31.948坪	無	東築華廈 新北市汐止區-福德一路	汐止區福德一路東築華廈2+1房	Wed May 04 22:00:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3103413	=HYPERLINK(N55)	
