
N	S2883267	17F/19F	3,480萬元	3,480萬元	13年	5房2廳	64.9坪	64.9坪	機械式停車位，已含售金內	新北市永和區-中正路	永安捷運/四號公園/中央圖書館/智光	Wed May 04 22:21:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2883267	=HYPERLINK(N2)	
U	S3030984	6F/27F	2,330萬元	2,330萬元	1個月	3房2廳	53.2坪	53.2坪	平面式停車位，已含售金內	新北市土城區-學成路	自售林蔭6FA1邊間三面採光大3房車位	Wed May 04 22:03:17 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3030984	=HYPERLINK(N3)	
U	S3034881	整棟/3F	1,590萬元	1,590萬元	25年	5房2廳	61.59坪	61.59坪	平面式停車位，已含售金內	新北市深坑區-雲鄉路	如詩如畫透天別墅地31坪3層樓-	Sat Apr 30 07:26:26 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3034881	=HYPERLINK(N4)	
N	S3050979	26F/26F	2,800萬元	2,800萬元	1個月	2房2廳	35.33坪	35.33坪	平面式停車位，已含售金內	新北市新莊區-新北大道四段	副都心捷運站出口1分鐘！遠雄新宿頂樓賠售	Wed May 04 22:21:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3050979	=HYPERLINK(N5)	
U	S3088023	2F/11F	699萬元	699萬元	7年	2房1廳	36.23坪	36.23坪	平面式停車位，已含售金內	新北市淡水區-八勢一街	紅樹林捷運站旁超便宜海天溫泉美兩房車	Wed May 04 22:12:18 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3088023	=HYPERLINK(N6)	
P	S3093531	4F/5F	1,300萬元	1,300萬元	32年	8房1廳	34.47坪	34.47坪	無	新北市新店區-中正路	新店區中正路大坪林捷運站收租屋	Wed May 04 22:21:25 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093531	=HYPERLINK(N7)	
P	S3021775	4F/4F	1,050萬元	1,050萬元	41年	3房2廳	31.46坪	31.46坪	無	新北市汐止區-宜興街	宜興商圈-邊間美寓	Wed May 04 22:21:26 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3021775	=HYPERLINK(N8)	
U	S3018606	10F/12F	920萬元	920萬元	18年	2房2廳	20.46坪	20.46坪	無	英郡 新北市汐止區-樟樹一路	愛嘉團隊~英郡稀有溫馨美屋~社區專家小蔡	Wed May 04 22:03:20 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3018606	=HYPERLINK(N9)	
U	S3066873	11F/13F	1,168萬元	1,168萬元	7年	2房2廳	29.84坪	29.84坪	平面式停車位，已含售金內	華鎮生活家 新北市汐止區-大同路一段	青年創業輕鬆成家~新婚首選~	Wed May 04 22:03:20 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3066873	=HYPERLINK(N10)	
U	S3016331	8F/9F	1,150萬元	1,150萬元	20年	2房2廳	34.91坪	34.91坪	平面式停車位，已含售金內	康寧郡 新北市汐止區-康寧街	康寧郡2房加車位	Wed May 04 22:03:21 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3016331	=HYPERLINK(N11)	
U	S3077999	3F/7F	1,098萬元	1,098萬元	16年	3房2廳	30.39坪	30.39坪	無	大寧靜 新北市汐止區-環山路	青山國小旁7樓華夏	Wed May 04 22:16:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3077999	=HYPERLINK(N12)	
N	S3068172	5F/12F	1,120萬元	1,120萬元	20年	3房2廳	31.6坪	31.6坪	無	錦帝華廈 新北市汐止區-大同路二段	汐止國小正對面**麥當勞旁	Wed May 04 22:21:27 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068172	=HYPERLINK(N13)	
P	S3108492	3F/5F	910萬元	910萬元	35年	3房2廳	26.76坪	26.76坪	無	新北市汐止區-原興路	大三房原興邊間黃金三樓~近中興福德	Wed May 04 22:21:28 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3108492	=HYPERLINK(N14)	
N	S3108594	3F/9F	899萬元	899萬元	18年	2房2廳	24.66坪	24.66坪	無	新台北人 新北市汐止區-福德二路	近中興~福德商圈~低總價~華廈兩房	Wed May 04 22:21:28 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3108594	=HYPERLINK(N15)	
N	S3109067	3F/7F	1,058萬元	1,058萬元	2年	2房2廳	26.48坪	26.48坪	無	雲品川 新北市汐止區-建成路	鄰建成~大同路~雲品川兩年屋華廈兩房	Wed May 04 22:21:29 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3109067	=HYPERLINK(N16)	
N	S3062093	12F/20F	1,068萬元	1,068萬元	19年	3房2廳	27.29坪	27.29坪	無	台北水都 新北市汐止區-工建路	水都景觀成家三房鄰新南港御璟(台灣舒涵)	Wed May 04 22:21:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062093	=HYPERLINK(N17)	
N	S3116857	2F/12F	850萬元	850萬元	21年	4房2廳	23.01坪	23.01坪	無	紅綠社區 新北市汐止區-樟樹一路	樟樹~低總價850萬四房~近中興福德明峰	Wed May 04 22:21:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3116857	=HYPERLINK(N18)	
P	S3011406	5F/5F	998萬元	998萬元	28年	3房2廳	31.05坪	31.05坪	無	新北市汐止區-樟樹二路	樟樹雙層邊間美寓	Wed May 04 22:21:31 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3011406	=HYPERLINK(N19)	
U	S2986225	12F/14F	1,188萬元	1,188萬元	22年	3房2廳	31.83坪	31.83坪	無	凱旋大地 新北市汐止區-福德一路	凱旋河景高樓層三房	Wed May 04 22:12:20 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2986225	=HYPERLINK(N20)	
U	S3002604	12F/14F	1,058萬元	1,058萬元	7年	2房2廳	23.226坪	23.226坪	無	長堤 新北市汐止區-福德一路	長堤河景溫馨二房~高樓河景視野美景	Wed May 04 22:12:21 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3002604	=HYPERLINK(N21)	
