
N	S2846755	2F/12F	1,380萬元	1,380萬元	11年	3房2廳	35.12坪	35.12坪	平面式停車位，已含售金內	新北市新莊區-中平路	東森房屋科達集團歐洲村店小資族邊間3房車	Sun Apr 10 10:15:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2846755	=HYPERLINK(N2)	
U	S2912484	頂樓加蓋/12F	1,188萬元	1,188萬元	20年	3房2廳	38.23坪	38.23坪	無	新北市樹林區-俊英街	景觀正三房遠挑101歡迎搶購只有一間	Sun Apr 10 10:08:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2912484	=HYPERLINK(N3)	
U	S3011738	4F/10F	2,180萬元	2,180萬元	11年	4房2廳	53.79坪	53.79坪	平面式停車位，已含售金內	新北市蘆洲區-長榮路	榮耀巴黎~稀有千坪基地中庭管理社區	Sun Apr 10 10:08:47 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3011738	=HYPERLINK(N4)	
U	S3029540	14F/23F	1,550萬元	1,550萬元	1年	1房1廳	35.37坪	35.37坪	平面式停車位，已含售金內	新北市中和區-中原二街	遠雄左岸環保智慧宅挑戰全區最低總價！	Sun Apr 10 10:08:49 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3029540	=HYPERLINK(N5)	
N	S3048493	7F/11F	1,280萬元	1,280萬元	22年	3房2廳	34.38坪	34.38坪	無	新北市蘆洲區-長興路	三民捷運方正電梯三房~裝潢美-景觀佳	Sun Apr 10 10:15:56 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048493	=HYPERLINK(N6)	
U	S3048840	1F/4F	998萬元	998萬元	36年	3房2廳	17.24坪	17.24坪	無	新北市三重區-仁化街	菜寮捷運一樓三房~全新漂亮裝潢	Sun Apr 10 10:08:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048840	=HYPERLINK(N7)	
U	S3039632	2F/3F	900萬元	900萬元	46年	2房2廳	26坪	26坪	無	新北市三重區-仁愛街	自售-小家庭首選，生活機能良好	Sun Apr 10 10:08:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3039632	=HYPERLINK(N8)	
U	S2964086	2F/7F	1,068萬元	1,068萬元	2年	2房1廳	25.72坪	25.72坪	無	樹學園 新北市三重區-中正北路	公園2房1廳邊間採光佳專屬梯廳	Sun Apr 10 10:08:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2964086	=HYPERLINK(N9)	
U	S3038541	1F/4F	1,088萬元	1,088萬元	40年	開放式格局	20.27坪	20.27坪	無	新北市三重區-永福街	大膽出價◆住辦/工廠/倉庫等◆低總價	Sun Apr 10 10:08:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038541	=HYPERLINK(N10)	
U	S3001864	整棟/2F	1,150萬元	1,150萬元	57年	3房2廳	9.59坪	9.59坪	無	新北市三重區-大同南路	大同南透天厝1~3樓	Sun Apr 10 10:08:54 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3001864	=HYPERLINK(N11)	
U	S3038105	6F/14F	1,198萬元	1,198萬元	18年	2房2廳	31.88坪	31.88坪	機械式停車位，已含售金內	金枝玉葉 新北市三重區-重新路三段	【菜寮捷運電梯二房+車位】	Sun Apr 10 10:08:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038105	=HYPERLINK(N12)	
